Indeces of clusters	Elements of clusters
cluster_0	[[1,1],]
cluster_1	[[1,2],]
cluster_2	[[1,3],]
cluster_3	[[1,4],]
cluster_4	[[1,5],]
cluster_5	[[1,6],[1,7],]
cluster_6	[[1,7],[1,6],]
cluster_7	[[1,8],[1,9],]
cluster_8	[[1,9],[1,8],]
cluster_9	[[1,10],]
cluster_10	[[1,11],]
cluster_11	[[1,12],]
cluster_12	[[1,13],[1,14],]
cluster_13	[[1,14],[1,13],]
cluster_14	[[1,15],[2,15],]
cluster_15	[[1,16],[1,17],]
cluster_16	[[1,17],[1,16],]
cluster_17	[[1,18],]
cluster_18	[[1,19],]
cluster_19	[[1,20],]
cluster_20	[[1,21],]
cluster_21	[[1,22],]
cluster_22	[[1,23],[2,23],[3,23],[3,22],]
cluster_23	[[1,24],]
cluster_24	[[1,25],]
cluster_25	[[1,26],]
cluster_26	[[1,27],]
cluster_27	[[1,28],[1,29],]
cluster_28	[[1,29],[1,28],]
cluster_29	[[1,30],]
cluster_30	[[2,1],[2,2],]
cluster_31	[[2,2],[2,1],]
cluster_32	[[2,3],]
cluster_33	[[2,4],]
cluster_34	[[2,5],[3,5],[3,6],[2,6],[3,4],]
cluster_35	[[2,6],[3,6],[3,5],[2,5],[3,4],]
cluster_36	[[2,7],]
cluster_37	[[2,8],]
cluster_38	[[2,9],]
cluster_39	[[2,10],[3,10],[2,11],]
cluster_40	[[2,11],[2,10],[3,10],]
cluster_41	[[2,12],]
cluster_42	[[2,13],]
cluster_43	[[2,14],]
cluster_44	[[2,15],[1,15],]
cluster_45	[[2,16],[2,17],]
cluster_46	[[2,17],[2,16],]
cluster_47	[[2,18],]
cluster_48	[[2,19],]
cluster_49	[[2,20],]
cluster_50	[[2,21],[3,21],[2,22],]
cluster_51	[[2,22],[2,21],[3,21],]
cluster_52	[[2,23],[3,23],[3,22],[1,23],]
cluster_53	[[2,24],]
cluster_54	[[2,25],[3,25],[4,25],[3,24],[2,26],]
cluster_55	[[2,26],[2,25],[3,25],[4,25],[3,24],]
cluster_56	[[2,27],]
cluster_57	[[2,28],[2,29],]
cluster_58	[[2,29],[2,28],]
cluster_59	[[2,30],]
cluster_60	[[3,1],]
cluster_61	[[3,2],]
cluster_62	[[3,3],[4,3],[5,3],[5,2],[4,4],]
cluster_63	[[3,4],[3,5],[2,5],[3,6],]
cluster_64	[[3,5],[2,5],[3,6],[3,4],]
cluster_65	[[3,6],[2,6],[3,5],[3,4],]
cluster_66	[[3,7],]
cluster_67	[[3,8],[4,8],[5,8],[4,9],]
cluster_68	[[3,9],]
cluster_69	[[3,10],[2,10],[2,11],]
cluster_70	[[3,11],]
cluster_71	[[3,12],]
cluster_72	[[3,13],]
cluster_73	[[3,14],[4,14],[3,15],]
cluster_74	[[3,15],[3,14],[4,14],]
cluster_75	[[3,16],]
cluster_76	[[3,17],[4,17],[4,18],]
cluster_77	[[3,18],]
cluster_78	[[3,19],]
cluster_79	[[3,20],]
cluster_80	[[3,21],[2,21],[2,22],]
cluster_81	[[3,22],[3,23],[2,23],[1,23],]
cluster_82	[[3,23],[2,23],[1,23],[3,22],]
cluster_83	[[3,24],[3,25],[4,25],[2,25],[2,26],]
cluster_84	[[3,25],[4,25],[2,25],[2,26],[3,24],]
cluster_85	[[3,26],]
cluster_86	[[3,27],]
cluster_87	[[3,28],]
cluster_88	[[3,29],[4,29],[5,29],[3,30],]
cluster_89	[[3,30],[3,29],[4,29],[5,29],]
cluster_90	[[4,1],[5,1],]
cluster_91	[[4,2],]
cluster_92	[[4,3],[5,3],[5,2],[3,3],[4,4],]
cluster_93	[[4,4],[4,3],[5,3],[5,2],[3,3],]
cluster_94	[[4,5],[4,6],[5,6],]
cluster_95	[[4,6],[5,6],[4,5],]
cluster_96	[[4,7],]
cluster_97	[[4,8],[5,8],[3,8],[4,9],]
cluster_98	[[4,9],[4,8],[5,8],[3,8],]
cluster_99	[[4,10],]
cluster_100	[[4,11],]
cluster_101	[[4,12],[4,13],]
cluster_102	[[4,13],[4,12],]
cluster_103	[[4,14],[3,14],[3,15],]
cluster_104	[[4,15],]
cluster_105	[[4,16],]
cluster_106	[[4,17],[3,17],[4,18],]
cluster_107	[[4,18],[4,17],[3,17],]
cluster_108	[[4,19],[4,20],]
cluster_109	[[4,20],[4,19],]
cluster_110	[[4,21],]
cluster_111	[[4,22],[4,23],]
cluster_112	[[4,23],[4,22],]
cluster_113	[[4,24],[5,24],[6,24],[6,25],[7,25],[8,25],[7,26],[6,26],[5,26],[6,27],]
cluster_114	[[4,25],[3,25],[2,25],[2,26],[3,24],]
cluster_115	[[4,26],]
cluster_116	[[4,27],]
cluster_117	[[4,28],]
cluster_118	[[4,29],[5,29],[3,29],[3,30],]
cluster_119	[[4,30],]
cluster_120	[[5,1],[4,1],]
cluster_121	[[5,2],[5,3],[4,3],[3,3],[4,4],]
cluster_122	[[5,3],[4,3],[3,3],[4,4],[5,2],]
cluster_123	[[5,4],[6,4],[5,5],]
cluster_124	[[5,5],[5,4],[6,4],]
cluster_125	[[5,6],[4,6],[4,5],]
cluster_126	[[5,7],]
cluster_127	[[5,8],[4,8],[3,8],[4,9],]
cluster_128	[[5,9],]
cluster_129	[[5,10],]
cluster_130	[[5,11],]
cluster_131	[[5,12],]
cluster_132	[[5,13],]
cluster_133	[[5,14],]
cluster_134	[[5,15],]
cluster_135	[[5,16],[5,17],[5,18],]
cluster_136	[[5,17],[5,18],[5,16],]
cluster_137	[[5,18],[5,17],[5,16],]
cluster_138	[[5,19],]
cluster_139	[[5,20],]
cluster_140	[[5,21],]
cluster_141	[[5,22],]
cluster_142	[[5,23],[6,23],[6,22],[7,22],]
cluster_143	[[5,24],[6,24],[6,25],[7,25],[8,25],[7,26],[6,26],[5,26],[6,27],[4,24],]
cluster_144	[[5,25],[6,25],[7,25],[8,25],[7,26],[6,26],[5,26],[6,27],[6,24],[5,24],[4,24],]
cluster_145	[[5,26],[6,26],[7,26],[7,25],[8,25],[6,25],[5,25],[5,24],[6,24],[4,24],[6,27],]
cluster_146	[[5,27],]
cluster_147	[[5,28],[6,28],[6,29],]
cluster_148	[[5,29],[4,29],[3,29],[3,30],]
cluster_149	[[5,30],[6,30],]
cluster_150	[[6,1],]
cluster_151	[[6,2],[7,2],[6,3],]
cluster_152	[[6,3],[6,2],[7,2],]
cluster_153	[[6,4],[5,4],[5,5],]
cluster_154	[[6,5],]
cluster_155	[[6,6],[7,6],]
cluster_156	[[6,7],]
cluster_157	[[6,8],]
cluster_158	[[6,9],[6,10],]
cluster_159	[[6,10],[6,9],]
cluster_160	[[6,11],]
cluster_161	[[6,12],]
cluster_162	[[6,13],]
cluster_163	[[6,14],[7,14],]
cluster_164	[[6,15],[7,15],[6,16],]
cluster_165	[[6,16],[6,15],[7,15],]
cluster_166	[[6,17],]
cluster_167	[[6,18],]
cluster_168	[[6,19],]
cluster_169	[[6,20],]
cluster_170	[[6,21],]
cluster_171	[[6,22],[7,22],[6,23],[5,23],]
cluster_172	[[6,23],[5,23],[6,22],[7,22],]
cluster_173	[[6,24],[5,24],[4,24],[5,25],[6,25],[7,25],[8,25],[7,26],[6,26],[5,26],[6,27],]
cluster_174	[[6,25],[7,25],[8,25],[7,26],[6,26],[5,26],[6,27],[6,24],[5,24],[4,24],]
cluster_175	[[6,26],[7,26],[7,25],[8,25],[6,25],[5,25],[5,24],[6,24],[4,24],[6,27],]
cluster_176	[[6,27],[6,26],[7,26],[7,25],[8,25],[6,25],[5,25],[5,24],[6,24],[4,24],]
cluster_177	[[6,28],[5,28],[6,29],]
cluster_178	[[6,29],[6,28],[5,28],]
cluster_179	[[6,30],[5,30],]
cluster_180	[[7,1],]
cluster_181	[[7,2],[6,2],[6,3],]
cluster_182	[[7,3],]
cluster_183	[[7,4],]
cluster_184	[[7,5],]
cluster_185	[[7,6],[6,6],]
cluster_186	[[7,7],]
cluster_187	[[7,8],[8,8],[9,8],[9,9],]
cluster_188	[[7,9],]
cluster_189	[[7,10],[8,10],[7,11],[7,12],]
cluster_190	[[7,11],[7,12],[7,10],[8,10],]
cluster_191	[[7,12],[7,11],[7,10],[8,10],]
cluster_192	[[7,13],]
cluster_193	[[7,14],[6,14],]
cluster_194	[[7,15],[6,15],[6,16],]
cluster_195	[[7,16],[7,17],]
cluster_196	[[7,17],[7,16],]
cluster_197	[[7,18],]
cluster_198	[[7,19],[7,20],]
cluster_199	[[7,20],[7,19],]
